county,reporting_centers,total_centers,percent_election_day_results_reported2,ev,en,mib1,prov,mib2
Allegany,0,6,0,Local results only,,Local results only,,
Anne Arundel,0,30,0,Local results only,,Local results only,,
Baltimore City,0,24,0,Local results only,,Local results only,,
Baltimore,0,42,0,,,,,
Calvert,0,5,0,,,,,
Caroline,0,3,0,Local results only,,Local results only,,
Carroll,0,13,0,Local results only,,Local results only,,
Cecil,0,6,0,,,,,
Charles,0,9,0,,,,,
Dorchester,0,3,0,Local results only,,Local results only,,
Frederick,0,14,0,Local results only,,Local results only,,
Garrett,0,3,0,Local results only,,Local results only,,
Harford,0,18,0,,,,,
Howard,0,17,0,Local results only,,Local results only,,
Kent,0,3,0,Local results only,,Local results only,,
Montgomery,0,40,0,Local results only,,Local results only,,
Prince George's,0,41,0,Local results only,,Local results only,,
Queen Anne's,0,4,0,Local results only,,Local results only,,
St. Mary's,0,7,0,Local results only,,Local results only,,
Somerset,0,3,0,Local results only,,Local results only,,
Talbot,0,4,0,Local results only,,Local results only,,
Washington,0,11,0,Local results only,,Local results only,,
Wicomico,0,8,0,Local results only,,Local results only,,
Worcester,0,4,0,Local results only,,Local results only,,
